GRID_ID,ROW,COLUMN,ROW000,COLUMN000,GRID_AREA,Mun,POBTOT,GRAPROES_C,PDER_SS_PERCENT,VPH_AGUADV_PERCENT,ARR_LBIEN_PERCENT,ARR_LBIENMIN_PERCENT,ELEV
6095,6,95,6,95,250000,15033,4613,8.08,0.5095,0.9397,52.52,88.88,2425
6096,6,96,6,96,250000,15002,78,8.08,0.5095,0.9397,56,91,2455
7095,7,95,7,95,250000,15033,5198,8.08,0.5095,0.9397,52.52,88.88,2391
7096,7,96,7,96,250000,15002,3102,7.13,0.0863,0.0214,56,91,2390
8094,8,94,8,94,250000,15033,9814,8.16,0.4815,0.9326,52.52,88.88,2341
8095,8,95,8,95,250000,15033,3205,8.02,0.4804,0.8477,52.52,88.88,2363
8106,8,106,8,106,250000,15002,1212,9.19,0.5782,0.9296,56,91,2266
8107,8,107,8,107,250000,15002,1212,9.19,0.5782,0.9296,56,91,2255
9093,9,93,9,93,250000,15033,7666,7.98,0.5015,0.9482,52.52,88.88,2290
9094,9,94,9,94,250000,15033,2186,8,0.4816,0.8603,52.52,88.88,2312
9095,9,95,9,95,250000,15002,1996,7.98,0.4621,0.7902,56,91,2327
9105,9,105,9,105,250000,15002,937,9.19,0.5782,0.9296,56,91,2271
9106,9,106,9,106,250000,15002,639,9.2,0.5777,0.9292,56,91,2257
9107,9,107,9,107,250000,15002,913,9.19,0.5777,0.9293,56,91,2252
10093,10,93,10,93,250000,15033,1304,8.25,0.5279,0.9131,52.52,88.88,2273
10094,10,94,10,94,250000,15033,1315,8.24,0.5264,0.9112,52.52,88.88,2294
10095,10,95,10,95,250000,15002,751,7.78,0.5002,0.6485,56,91,2299
10096,10,96,10,96,250000,15002,193,7.38,0.2435,0.0222,56,91,2287
10099,10,99,10,99,250000,15002,68,8.92,0.5906,0.3478,56,91,2266
10104,10,104,10,104,250000,15002,116,7.36,0.4588,0.0843,56,91,2273
10105,10,105,10,105,250000,15002,494,9.86,0.5463,0.9035,56,91,2268
10106,10,106,10,106,250000,15002,464,9.87,0.5458,0.9031,56,91,2257
10107,10,107,10,107,250000,15002,84,8.8,0.5983,0.8663,56,91,2250
10108,10,108,10,108,250000,15002,81,6.05,0.4182,0.3169,56,91,2251
10115,10,115,10,115,250000,15002,1849,8.98,0.6306,0.9288,56,91,2281
11092,11,92,11,92,250000,15033,8116,8.48,0.5118,0.9676,52.52,88.88,2251
11093,11,93,11,93,250000,15033,1962,8.98,0.5714,0.9608,52.52,88.88,2259
11094,11,94,11,94,250000,15033,1423,9.06,0.5961,0.9508,52.52,88.88,2271
11095,11,95,11,95,250000,15002,416,7.85,0.4427,0.9193,56,91,2272
11096,11,96,11,96,250000,15002,137,8.05,0.4625,0.9122,56,91,2262
11097,11,97,11,97,250000,15002,86,9.16,0.5787,0.8266,56,91,2258
11098,11,98,11,98,250000,15002,89,9.19,0.5801,0.8239,56,91,2257
11099,11,99,11,99,250000,15002,596,9.19,0.5801,0.8239,56,91,2255
11100,11,100,11,100,250000,15002,256,9.31,0.5551,0.8147,56,91,2253
11101,11,101,11,101,250000,15002,25,10.34,0.3333,0.7333,56,91,2254
11102,11,102,11,102,250000,15002,9,10.34,0.3333,0.7333,56,91,2260
11103,11,103,11,103,250000,15002,81,8.44,0.7302,0.8311,56,91,2272
