AGEB_ID,GRAPROES_C,VPH_AGUADV_%,PDER_SS_%,ARR_LBIEN_%,Education (percentile),Water (percentile),Health (percentile),Poverty (percentile)
2,9.79,97.68315592,80.36197564,72.44744,0.521,0.645,0.988,0.879
3,10.5,96.86956522,77.65486726,72.44744,0.668,0.52,0.979,0.879
4,9.85,96.94368132,66.4296152,72.44744,0.536,0.53,0.722,0.879
5,10.9,94.3197756,73.44655345,72.44744,0.725,0.318,0.938,0.879
6,9.92,97.31759657,71.58508822,72.44744,0.55,0.584,0.892,0.879
7,12.63,88.25136612,67.37240076,72.44744,0.857,0.161,0.758,0.879
8,10.2,98.56512141,64.84695488,72.44744,0.615,0.814,0.649,0.879
10,10.93,98.52724595,75.14048702,72.44744,0.732,0.807,0.962,0.879
11,10.28,96.51648862,71.51563328,72.44744,0.632,0.482,0.891,0.879
12,9.85,97.45916515,68.18405109,72.44744,0.536,0.605,0.79,0.879
13,10.57,99.32716569,72.46851385,72.44744,0.678,0.954,0.918,0.879
14,10.32,97.53668763,69.61309955,72.44744,0.641,0.619,0.842,0.879
15,10.02,97.06937799,65.94807238,72.44744,0.571,0.549,0.7,0.879
16,10.34,97.06643658,73.09598918,72.44744,0.645,0.548,0.933,0.879
17,10.64,92.4205379,72,72.44744,0.688,0.243,0.904,0.879
18,9.68,96.95603157,72.96849088,72.44744,0.497,0.531,0.931,0.879
19,10.79,96.33911368,74.57753018,72.44744,0.712,0.465,0.955,0.879
20,10.17,96.7192429,72.14308838,72.44744,0.604,0.506,0.909,0.879
21,10.68,95.62563581,71.40796307,72.44744,0.695,0.397,0.888,0.879
23,9.82,99.07407407,75.42997543,72.44744,0.53,0.916,0.966,0.879
24,10.26,97.31876862,75.16356975,72.44744,0.628,0.585,0.963,0.879
25,9.96,97.02970297,71.71474359,72.44744,0.56,0.543,0.896,0.879
26,10.52,95.48978154,69.01380671,72.44744,0.671,0.387,0.825,0.879
27,10.43,92.55583127,66.76822123,72.44744,0.658,0.247,0.737,0.879
30,11.42,96.34525661,73.80841121,72.44744,0.781,0.466,0.945,0.879
32,11.42,97.05882353,76.68131125,72.44744,0.781,0.545,0.976,0.879
33,11.17,95.30938124,72.67792521,72.44744,0.76,0.376,0.924,0.879
34,12.44,96.6746988,76.43471462,72.44744,0.845,0.501,0.974,0.879
35,10.72,95.67901235,70.72175465,72.44744,0.701,0.4,0.872,0.879
36,11.13,94.32387312,75.23148148,72.44744,0.757,0.318,0.964,0.879
37,12.01,96.36891794,69.97620593,72.44744,0.822,0.469,0.854,0.879
38,11.57,95.81218274,71.3091922,72.44744,0.794,0.411,0.887,0.879
39,10.66,97.46987952,72.95054763,72.44744,0.691,0.608,0.931,0.879
40,10.75,97.31884058,70.17879949,72.44744,0.706,0.585,0.86,0.879
42,10.43,97.79837775,69.81190256,72.44744,0.658,0.664,0.849,0.879
43,10.42,97.58412425,74.94061758,72.44744,0.657,0.629,0.958,0.879
44,9.64,99.26289926,71.40392495,72.44744,0.487,0.946,0.888,0.879
46,9.37,98.4020185,69.47828085,72.44744,0.418,0.778,0.837,0.879
48,10.98,94.55445545,72.52956887,72.44744,0.737,0.328,0.921,0.879
49,9.72,95.81901489,75.69686411,72.44744,0.505,0.412,0.969,0.879
50,10.09,97.80271155,73.94128345,72.44744,0.589,0.665,0.947,0.879
51,12.33,97.02833449,76.45769399,72.44744,0.838,0.543,0.974,0.879
52,13.39,95.22673031,72.65861027,72.44744,0.911,0.37,0.923,0.879
53,13.44,96.96233293,74.98014297,72.44744,0.915,0.532,0.96,0.879
54,11.45,95.09105305,67.91519435,72.44744,0.784,0.36,0.779,0.879
55,13.46,95.69672131,71.21652146,72.44744,0.917,0.402,0.884,0.879
57,10.18,98.24205544,73.99458623,72.44744,0.607,0.741,0.949,0.879
58,10.06,98.43342037,79.24944812,72.44744,0.583,0.784,0.986,0.879
59,10.67,96.05781866,74.23613731,72.44744,0.692,0.438,0.952,0.879
60,10.99,95.10146956,65.92532136,72.44744,0.739,0.362,0.699,0.879
62,11.05,99.7515528,79.79539642,72.44744,0.747,0.987,0.987,0.879
63,13.24,95.53128103,68.57594937,72.44744,0.9,0.39,0.808,0.879
64,12.55,94.86531987,68.30874605,72.44744,0.853,0.346,0.798,0.879
65,10.68,92.86809816,74.96105052,72.44744,0.695,0.257,0.959,0.879
66,9.1,91.44144144,67.41293532,72.44744,0.34,0.217,0.758,0.879
67,9.35,91.49797571,70.06222222,72.44744,0.412,0.219,0.858,0.879
70,10.57,99.08069459,78.35307078,72.44744,0.678,0.919,0.984,0.879
71,9.23,81.34328358,73.36683417,72.44744,0.382,0.106,0.937,0.879
72,10.9,95.57522124,82.36842105,72.44744,0.725,0.393,0.991,0.879
76,11.38,93.91304348,73.05050505,72.44744,0.777,0.294,0.932,0.879
77,10.77,97.61526232,74.02808574,72.44744,0.709,0.634,0.95,0.879
79,10.93,96.15653389,75.23043734,72.44744,0.732,0.449,0.964,0.879
80,10.02,98.71414441,73.42733189,72.44744,0.571,0.844,0.937,0.879
81,9.56,97.40718916,69.89812162,72.44744,0.467,0.597,0.852,0.879
82,13.45,96.14973262,69.73544974,72.44744,0.917,0.448,0.846,0.879
84,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan
86,11.23,94.62474645,71.2292554,72.44744,0.766,0.333,0.885,0.879
91,9.72,98.7745098,74.95407226,72.44744,0.505,0.858,0.959,0.879
92,8.38,71.81818182,68.82793017,72.44744,0.178,0.076,0.815,0.879
94,14.26,89.96415771,68.00246609,76,0.98,0.191,0.783,0.902
95,14.03,97.97421731,73.71601208,76,0.964,0.695,0.943,0.902
97,13.68,88.30769231,63.09904153,76,0.934,0.161,0.592,0.902
98,13.41,88.74622356,62.5499002,76,0.913,0.169,0.571,0.902
