Cluster,GRAPROES,VPH_AGUADV_%,PDER_SS_%,ARR_LBIEN_%,Education (percentile),Water (percentile),Health (percentile),Poverty (percentile)
1,10.7463645,1074.63645,57.86862801,69.59432,0.756,0.676,0.517,0.84
2,7.804497369,780.4497369,43.2222723,45.47719057,0.064,0.049,0.144,0.119
3,8.257151014,825.7151014,42.52615255,36,0.179,0.651,0.129,0.039
4,11.75088569,1175.088569,71.10946327,64.12649686,0.805,0.706,0.875,0.666
5,8.52939313,852.939313,45.78046406,33,0.268,0.407,0.189,0.004
6,9.606123155,960.6123155,49.20412263,68,0.577,0.283,0.293,0.776
7,9.094430343,909.4430343,53.78740489,47,0.412,0.945,0.412,0.134
8,11.02439712,1102.439712,64.55325056,68.45428948,0.771,0.547,0.681,0.796
9,12.66747744,1266.747744,65.73646473,82,0.86,0.194,0.726,0.97
10,8.084051132,808.4051132,34.68492558,54,0.134,0.477,0.044,0.343
11,10.59489665,1059.489665,64.12641745,65,0.736,0.93,0.651,0.696
12,12.04244244,1204.244244,62.49411994,63.04401884,0.83,0.293,0.626,0.577
13,8.915513115,891.5513115,68.07400494,63,0.363,0.935,0.786,0.537
14,8.752626184,875.2626184,44.17897308,69.5005083,0.303,0.069,0.159,0.83
15,9.347787988,934.7787988,52.56029252,49,0.497,0.457,0.393,0.159
16,11.2759479,1127.59479,72.95596739,63,0.791,0.89,0.925,0.537
17,8.460111805,846.0111805,51.75821707,63.23032815,0.253,0.915,0.373,0.621
18,8.316666269,831.6666269,46.1388092,61.87749695,0.203,0.691,0.208,0.487
19,9.586104747,958.6104747,53.54876364,55.25987358,0.567,0.845,0.402,0.402
20,9.302061447,930.2061447,65.745346,52.17856752,0.467,0.248,0.731,0.213
21,8.140729592,814.0729592,50.13006317,53,0.149,0.641,0.313,0.263
22,9.860967906,986.0967906,47.30579691,69.59432,0.646,0.388,0.233,0.855
23,7.964252777,796.4252777,50.19918773,52.52346,0.099,0.482,0.323,0.223
24,14.0808265,1408.08265,71.41849137,88.04771,0.965,0.472,0.88,0.99
25,9.18177455,918.177455,50.43176423,39.16426333,0.427,0.308,0.338,0.049
26,11.11114176,1111.114176,69.70965318,78,0.781,0.925,0.82,0.95
27,8.312230747,831.2230747,54.06840668,63,0.194,0.616,0.427,0.557
28,10.06471639,1006.471639,52.46060616,40.00121478,0.681,0.796,0.383,0.074
29,14.44589507,1444.589507,86.77161616,65,0.99,0.91,0.985,0.711
30,13.42333042,1342.333042,65.32783003,76,0.905,0.268,0.716,0.915
31,10.06772231,1006.772231,61.58702162,52.52346,0.686,0.83,0.606,0.243
32,9.328049962,932.8049962,60.32506377,56,0.477,0.348,0.577,0.412
33,11.13571399,1113.571399,67.01083433,63.06666462,0.786,0.815,0.761,0.606
34,9.15353089,915.353089,55.33758921,55,0.422,0.965,0.447,0.388
35,9.418926853,941.8926853,61.6692688,65,0.522,0.751,0.616,0.751
36,9.595721535,959.5721535,56.85774745,57.85827546,0.572,0.88,0.477,0.437
37,10.03572381,1003.572381,67.91806583,47.98393777,0.676,0.94,0.781,0.154
38,12.62773669,1262.773669,70.75745443,52.52346,0.855,0.786,0.86,0.233
39,8.043103285,804.3103285,52.28957128,52.39560015,0.124,0.064,0.378,0.218
