Mun,GRAPROES_C,VPH_AGUADV_%,PDER_SS_%,ARR_LBIEN_%,Education (percentile),Water (percentile),Health (percentile),Poverty (percentile)
9002,10.8,96.16165234,72.59030988,72.44744,0.883,0.744,0.976,0.883
9003,11.66,95.04271993,66.38013849,76,0.93,0.674,0.79,0.906
9004,10.22,93.34196296,66.08419934,78,0.744,0.534,0.767,0.93
9005,10.23,97.36528701,67.75484663,63,0.767,0.976,0.86,0.604
9006,10.5,96.57586729,64.96333842,69,0.813,0.837,0.72,0.813
9007,9.61,96.71685328,60.3773242,58,0.534,0.86,0.627,0.558
9008,9.93,94.08854537,65.48647767,65,0.627,0.581,0.744,0.697
9009,9.07,82.62413576,52.9881607,49,0.302,0.069,0.325,0.302
9010,10.38,96.20262118,68.05912791,64,0.79,0.767,0.906,0.674
9011,9.69,95.31527385,58.71511249,56,0.581,0.697,0.534,0.511
9012,10.7,83.80847995,56.50732361,69.59432,0.86,0.093,0.488,0.837
9013,10.15,87.02835237,53.55042204,68,0.72,0.186,0.348,0.79
9014,13.52,92.55114976,68.01465342,88.04771,0.976,0.441,0.883,0.976
9015,11.32,94.98065058,64.0109358,71,0.906,0.651,0.697,0.86
9016,11.88,92.1188824,69.69661213,82,0.953,0.418,0.93,0.953
9017,10.53,95.54355494,63.80928957,67,0.837,0.72,0.674,0.767
15002,9.04,31.95583316,54.25094099,56,0.279,0.023,0.372,0.511
15011,8.65,87.42289514,44.13527017,37,0.186,0.209,0.093,0.093
15013,10.1,97.28720237,58.40118219,65,0.697,0.953,0.511,0.697
15022,9.34,92.67015707,66.71882721,53,0.395,0.465,0.837,0.395
15025,8.61,88.42393848,45.66343146,40,0.162,0.232,0.162,0.116
15028,9.14,91.18290426,44.69474247,46,0.325,0.348,0.116,0.209
15029,9.39,96.21188376,59.06896768,48,0.418,0.79,0.558,0.279
15030,9.26,93.28659443,32.86734739,43,0.348,0.511,0.023,0.162
15031,8.03,88.8329442,44.90221384,33,0.046,0.255,0.139,0.023
15033,9.43,94.30637672,56.30964666,52.52346,0.441,0.627,0.465,0.372
15037,10.09,89.73385249,59.31278828,65,0.674,0.279,0.581,0.697
15039,9.29,91.45259539,55.06792394,62,0.372,0.372,0.418,0.581
15046,8.22,96.72361339,50.6622148,53,0.093,0.883,0.232,0.395
15057,9.73,94.26610734,55.80915326,63.05368,0.604,0.604,0.441,0.651
15058,9.5,97.13448754,52.97267607,55,0.488,0.93,0.302,0.488
15069,9.56,91.06029106,47.52833374,46,0.511,0.325,0.186,0.209
15070,8.69,85.41413301,51.38017294,47,0.232,0.162,0.255,0.255
15083,9,90.4040404,71.32786007,54,0.255,0.302,0.953,0.441
15089,8.65,96.49325626,59.51030441,45,0.186,0.813,0.604,0.186
15093,8.49,85.09489276,54.37303178,49,0.116,0.139,0.395,0.302
15099,9.67,85.04275774,48.07591718,54,0.558,0.116,0.209,0.441
15100,8.6,61.41108711,43.02963152,41,0.139,0.046,0.069,0.139
15103,9.44,92.9987824,66.64643399,52,0.465,0.488,0.813,0.348
15104,10.04,93.94023134,62.42914675,63,0.651,0.558,0.651,0.604
15122,8.1,96.94293402,41.3505012,36,0.069,0.906,0.046,0.069
