R_MULTIPLIER,MODEL_PERIOD
0.988754367,1
0.986549852,2
0.965723168,3
0.938261331,4
0.943516289,5
0.94996877,6
0.930873879,7
0.964873313,8
0.961156344,9
0.941627359,10
0.968403027,11
1.00004801,12
0.983632711,13
0.981428195,14
0.960601512,15
0.933139675,16
0.938394633,17
0.944847114,18
0.925752223,19
0.959751657,20
0.956034688,21
0.936505703,22
0.96328137,23
0.994926353,24
0.971182899,25
0.968978383,26
0.9481517,27
0.920689863,28
0.925944821,29
0.932397302,30
0.91330241,31
0.947301845,32
0.943584876,33
0.924055891,34
0.950831558,35
0.982476541,36
0.972587546,37
0.970383031,38
0.949556347,39
0.92209451,40
0.927349468,41
0.933801949,42
0.914707058,43
0.948706492,44
0.944989523,45
0.925460538,46
0.952236206,47
0.983881188,48
0.968622464,49
0.979027621,50
0.990458104,51
0.962005643,52
0.980332522,53
0.997016653,54
0.97128268,55
0.998260663,56
0.988191388,57
0.978122768,58
0.968394614,59
0.973993966,60
0.929229716,61
0.927299537,62
0.942745552,63
0.943310594,64
0.953270527,65
0.957624561,66
0.943200598,67
0.9773061,68
0.929966301,69
0.93188404,70
0.902410181,71
0.913386928,72
0.860930007,73
0.879541698,74
0.932097826,75
0.911231204,76
0.917849334,77
0.896799384,78
0.921223874,79
0.937174695,80
0.90325252,81
0.879133139,82
0.893673646,83
0.859074468,84
0.897000402,85
0.775879053,86
0.9795221,87
0.9795221,88
0.999049121,89
0.850441055,90
0.947710158,91
0.999498929,92
0.999498929,93
1.023074218,94
0.884047644,95
0.937095483,96
0.832036075,97
0.704068091,98
0.920956565,99
0.787158759,100
0.876495665,101
0.913502984,102
0.84498425,103
0.873825628,104
0.921519643,105
0.840148326,106
0.836970864,107
0.925724395,108
0.834055552,109
0.692430307,110
0.926650453,111
0.788241301,112
0.872858173,113
0.91890944,114
0.851393771,115
0.86085479,116
0.924732714,117
0.833652231,118
0.830094364,119
0.936497116,120
0.890298996,121
0.776894434,122
0.989110671,123
0.989110671,124
0.991996118,125
0.895116586,126
0.9392894,127
0.987155612,128
0.987155612,129
1.012196213,130
0.890958975,131
0.937300294,132
1.019799043,133
0.874777006,134
1.106336462,135
0.948945816,136
1.062115396,137
1.090116333,138
1.020564235,139
1.041442417,140
1.103271182,141
1.009060038,142
1.002090622,143
1.112988676,144
0.813805393,145
0.940922825,146
1.065131322,147
0.862546959,148
1.063740746,149
1.094152266,150
0.912864761,151
1.093503581,152
1.0483264,153
0.896209419,154
